Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Hidamari Sketch x Honeycomb,TV,12,Finished Airing,2012-10-5,2012-12-21,Fall,-,"Aniplex,Lantis,TBS,Movic,Houbunsha,Grooove",Sentai Filmworks,Shaft,4-koma manga,"Slice of Life,Comedy,School,Seinen",24 min. per ep.,PG-13,7.95,6561,14880,106
Hoozuki no Reitetsu OVA,OVA,4,Finished Airing,2015-2-23,2017-3-23,-,-,Starchild Records,-,"Studio Deen,Wit Studio",Manga,"Comedy,Demons,Fantasy,Supernatural",26 min. per ep.,PG-13,7.95,3935,9798,13
Kokoro Connect,TV,13,Finished Airing,2012-7-8,2012-9-30,Summer,Sundays at 00:30 (JST),"Starchild Records,Enterbrain",Sentai Filmworks,Silver Link.,Light novel,"Slice of Life,Comedy,Supernatural,Drama,Romance,School",24 min. per ep.,PG-13,7.95,207732,393530,5469
Mobile Suit Gundam Thunderbolt: December Sky,Movie,1,Finished Airing,2016-6-25,-,-,-,-,NYAV Post,Sunrise,Manga,"Action,Military,Sci-Fi,Space,Drama,Mecha",1 hr. 9 min.,R,7.95,3811,7606,45
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,OVA,1,Finished Airing,2009-4-30,-,-,-,-,Funimation,"Brain's Base,Marvy Jack",Light novel,"Adventure,Historical,Romance,Fantasy",23 min.,PG-13,7.95,57938,101212,238
Uchouten Kazoku,TV,13,Finished Airing,2013-7-7,2013-9-29,Summer,Sundays at 22:00 (JST),"Bandai Visual,Yomiuri Telecasting,Lantis,Kids Station,Magic Capsule,Good Smile Company","NIS America, Inc.",P.A. Works,Novel,"Slice of Life,Comedy,Demons,Drama,Fantasy",24 min. per ep.,PG-13,7.95,34230,100458,1059
Yuru Yuri Nachuyachumi!,OVA,1,Finished Airing,2015-2-18,-,-,-,Pony Canyon,-,TYO Animations,Manga,"Comedy,Shoujo Ai,Slice of Life",1 hr. 3 min.,PG-13,7.95,22034,40162,112
Baby Steps,TV,25,Finished Airing,2014-4-6,2014-9-21,Spring,-,NHK,-,Studio Pierrot,Manga,"Romance,School,Shounen,Sports",24 min. per ep.,PG-13,7.94,42869,82839,616
Detective Conan Movie 09: Strategy Above the Depths,Movie,1,Finished Airing,2005-4-9,-,-,-,-,-,TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",1 hr. 50 min.,PG-13,7.94,15595,26209,15
Detective Conan Movie 12: Full Score of Fear,Movie,1,Finished Airing,2008-4-19,-,-,-,"Shogakukan Productions,Tokyo Movie Shinsha,Big Bang",-,TMS Entertainment,Manga,"Adventure,Police,Comedy,Mystery,Shounen",1 hr. 56 min.,PG-13,7.94,14665,24847,9
Full Metal Panic! Invisible Victory,TV,12,Currently Airing,2018-4-13,-,Spring,Fridays at 20:30 (JST),-,Funimation,Xebec,Light novel,"Action,Military,Mecha",24 min. per ep.,None,7.94,1283,30055,89
Gungrave,TV,26,Finished Airing,2003-10-7,2004-3-30,Fall,-,Tohokushinsha Film Corporation,"Funimation,Geneon Entertainment USA",Madhouse,Game,"Action,Drama,Sci-Fi,Seinen,Super Power",25 min. per ep.,R,7.94,46886,117297,1940
Jungle wa Itsumo Hare nochi Guu,TV,26,Finished Airing,2001-4-3,2001-9-25,Spring,Tuesdays at 18:00 (JST),"Bandai Visual,Sotsu",Funimation,Shin-Ei Animation,Manga,"Slice of Life,Comedy,School",23 min. per ep.,PG-13,7.94,10485,24916,365
Karakai Jouzu no Takagi-san,TV,12,Finished Airing,2018-1-8,2018-3-26,Winter,Mondays at 23:00 (JST),"TMS Entertainment,Asatsu DK,Asmik Ace Entertainment,TOHO animation,East Japan Marketing & Communications",Funimation,Shin-Ei Animation,Manga,"Slice of Life,Comedy,Romance,School,Shounen",23 min. per ep.,PG-13,7.94,42869,119724,1015
Kyou kara Maou! 3rd Series,TV,39,Finished Airing,2008-4-3,2009-2-19,Spring,-,-,-,Studio Deen,Light novel,"Adventure,Comedy,Demons,Fantasy,Shoujo",24 min. per ep.,PG-13,7.94,8933,22661,129
Musekinin Kanchou Tylor,TV,26,Finished Airing,1993-1-25,1993-7-19,Winter,Mondays at 18:00 (JST),"VAP,Big West,King Records,Media Rings,TV Setouchi",Nozomi Entertainment,Tatsunoko Production,Light novel,"Military,Sci-Fi,Space,Comedy,Parody",23 min. per ep.,PG-13,7.94,9412,25787,339
Neko no Ongaeshi,Movie,1,Finished Airing,2002-7-20,-,-,-,-,"Walt Disney Studios,GKIDS",Studio Ghibli,Other,"Adventure,Drama,Fantasy",1 hr. 15 min.,G,7.94,74225,118024,632
Saint☆Oniisan (Movie),Movie,1,Finished Airing,2013-5-10,-,-,-,"Aniplex,Kodansha,Toho",-,A-1 Pictures,Manga,"Comedy,Seinen,Slice of Life",1 hr. 29 min.,PG-13,7.94,20597,42822,223
Seitokai Yakuindomo Movie,Movie,1,Finished Airing,2017-7-21,-,-,-,"KlockWorx,Glovision,King Records",-,GoHands,4-koma manga,"Slice of Life,Comedy,School,Shounen",1 hr.,R,7.95,3885,17634,29
Tiger & Bunny Movie 2: The Rising,Movie,1,Finished Airing,2014-2-8,-,-,-,-,Viz Media,Sunrise,Original,"Action,Mystery,Comedy,Super Power",1 hr. 40 min.,PG-13,7.94,6458,17395,29
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Movie,1,Finished Airing,2017-4-15,-,-,-,Pony Canyon,-,Studio Gokumi,Light novel,"Drama,Fantasy,Magic,Slice of Life",47 min.,PG-13,7.93,2397,6896,20
